url,company,publishedAt,title,description
https://www.cnbc.com/2025/10/24/chauncey-billups-indictment-portland-trail-blazers-gambling.html,Apple,2025-10-24T20:47:26Z,Chauncey Billups appears to be unnamed conspirator alleged to have leaked plan to lose NBA game,Miami Heat player Terry Rozier is accused in the same indictment of participating in a scheme that exploited confidential information to make bets on games.
https://techcrunch.com/video/the-browser-wars-are-back-and-this-time-theyre-powered-by-ai/,Apple,2025-10-24T19:01:31Z,"The browser wars are back, and this time they're powered by AI | TechCrunch","Watch as Equity breaks down Atlas’s debut, the broader wave of alternative browsers, the AWS crash that broke much of the internet, and more of the week’s startup and tech news."
https://techcrunch.com/2025/10/24/techcrunch-disrupt-2025-side-events-schedule-women-in-tech-mongodb-silkroad-innovation-hub-and-more-to-host/,Apple,2025-10-24T15:32:53Z,"TechCrunch Disrupt 2025 Side Events schedule: Women in Tech, MongoDB, Silkroad Innovation Hub and more to host | TechCrunch","With TechCrunch Disrupt 2025 right around the corner, we’re thrilled to introduce the companies hosting Side Events that will extend the buzz and"
https://www.cnbc.com/2025/10/24/taco-bell-live-mas-cafe.html,Apple,2025-10-24T14:30:02Z,Taco Bell tries to woo younger customers with Live Más Café's flashy beverages,"By the end of the year, Taco Bell is projecting that it will have 30 Live Más Cafés in its portfolio, across Southern California, Dallas and Houston."
https://techcrunch.com/2025/10/23/big-tech-is-paying-for-trumps-white-house-ballroom/,Apple,2025-10-24T02:57:47Z,Big tech is paying for Trump's White House ballroom | TechCrunch,"Trump's $250 million White House ballroom will be funded in part by big tech companies like Amazon, Apple, Google, Meta, and Microsoft."
https://www.cnbc.com/2025/10/23/apple-american-made-ai-servers-texas.html,Apple,2025-10-23T21:26:11Z,Apple begins shipping American-made AI servers from Texas,"The milestone could please President Donald Trump, who has called for Apple to do more manufacturing on U.S. shores."
https://techcrunch.com/2025/10/23/openai-buys-sky-an-ai-interface-for-mac/,Apple,2025-10-23T20:53:43Z,"OpenAI buys Sky, an AI interface for Mac | TechCrunch","OpenAI has acquired Software Applications, Inc., the startup behind Sky — an AI-powered natural language interface for Mac that can view your screen and take actions in your apps."
https://www.cnbc.com/2025/10/23/trump-white-house-east-wing-ballroom-donors-apple-amazon-meta-microsoft-google.html,Apple,2025-10-23T20:34:44Z,Trump White House ballroom financed by Big Tech and these other corporate donors,Big Tech and other publicly traded companies are helping to finance the $300 million White House ballroom planned by President Donald Trump.
https://www.cnbc.com/2025/10/23/openai-buys-ai-startup-software-applications-incorporated.html,Apple,2025-10-23T18:21:33Z,OpenAI buys AI startup that built interface for Apple computers,"With Thursday's acquisition, all 12 employees from Software Applications Incorporated will join OpenAI."
https://www.cnbc.com/2025/10/23/5-things-to-know-before-the-stock-market-opens.html,Apple,2025-10-23T12:22:05Z,"Tesla's earnings miss, Meta job cuts, U.S. sanctions Russian oil and more in Morning Squawk",Here are five key things investors need to know to start the trading day.
https://www.cnbc.com/2025/10/23/cnbc-daily-open-teslas-revenue-rose-but-so-did-its-operating-costs.html,Apple,2025-10-23T06:30:02Z,CNBC Daily Open: Tesla's revenue rose — but so did its operating costs,"Tesla's revenue rose 12% year on year, the first increase in three quarters. Despite that, net income plunged 37% from a year earlier."
https://www.cnbc.com/2025/10/23/cnbc-daily-open-teslas-increased-costs-outweighed-its-revenue-growth.html,Apple,2025-10-23T01:15:01Z,CNBC Daily Open: Tesla's increased costs outweighed its revenue growth,"Tesla's revenue rose 12% year on year, the first increase in three quarters. Despite that, net income plunged 37% from a year earlier."
https://www.cnbc.com/2025/10/22/elon-musk-tesla-ai5-nvidia.html,Apple,2025-10-23T00:14:38Z,"Elon Musk says Tesla 'not about to replace Nvidia' as EV maker develops chips for cars, robots","On Tesla's earnings call, Elon Musk said that if the company has too many of its AI5 chips, it can use them in the data center."
https://techcrunch.com/2025/10/22/openais-atlas-is-more-about-chatgpt-than-the-web/,Apple,2025-10-22T18:51:43Z,OpenAI’s Atlas is more about ChatGPT than the web,OpenAI's new browser is a surface for the company to distribute ChatGPT and develop new AI features rather than improving core web experience.
https://techcrunch.com/2025/10/22/apple-confirms-it-pulled-controversial-dating-apps-tea-and-teaonher-from-the-app-store/,Apple,2025-10-22T17:32:14Z,Apple confirms it pulled controversial dating apps Tea & TeaOnHer from the App Store,"Apple has pulled the controversial dating safety apps Tea and TeaOnHer from the App Store over violations of its content moderation and privacy rules, following a flood of user complaints and reports of minors’ data being exposed"
